10,901	-0,0135	0,277	0	13,5	NAN	
11,001	-0,0125	0,277	0	12,5	NAN	
11,101	-0,0125	0,2775	0	12,5	NAN	
11,201	-0,013	0,277	0	13	NAN	
11,301	-0,013	0,277	0	13	NAN	
11,401	-0,013	0,277	0	13	NAN	
11,501	-0,0125	0,278	0	12,5	NAN	
11,601	-0,0125	0,277	0	12,5	NAN	
11,701	-0,013	0,277	0	13	NAN	
11,801	-0,013	0,2765	0	13	NAN	
11,901	-0,0125	0,2775	0	12,5	NAN	
12,001	-0,012	0,2775	0	12	NAN	
12,101	-0,013	0,2765	0	13	NAN	
12,201	-0,013	0,277	0	13	NAN	
12,301	-0,0125	0,2775	0	12,5	NAN	
12,401	-0,0125	0,277	0	12,5	NAN	
12,501	-0,0125	0,2775	0	12,5	NAN	
12,601	-0,013	0,2765	0	13	NAN	
12,701	-0,013	0,277	0	13	NAN	
12,801	-0,0125	0,2775	0	12,5	NAN	
12,901	-0,0125	0,2775	0	12,5	NAN	
13,001	-0,0125	0,277	0	12,5	NAN	
13,101	-0,013	0,2775	0	13	NAN	
13,201	-0,013	0,277	0	13	NAN	
13,301	-0,012	0,2775	0	12	NAN	
13,401	-0,013	0,277	0	13	NAN	
13,501	-0,013	0,277	0	13	NAN	
13,601	-0,0125	0,2765	0	12,5	NAN	
13,701	-0,012	0,278	0	12	NAN	
13,801	-0,012	0,2765	0	12	NAN	
13,901	-0,013	0,277	0	13	NAN	
14,001	-0,0125	0,277	0	12,5	NAN	
14,101	-0,0125	0,2775	0	12,5	NAN	
14,201	-0,012	0,278	0	12	NAN	
14,301	-0,013	0,2765	0	13	NAN	
14,401	-0,013	0,2765	0	13	NAN	
14,501	-0,0125	0,277	0	12,5	NAN	
14,601	-0,012	0,277	0	12	NAN	
14,701	-0,0125	0,2775	0	12,5	NAN	
14,801	-0,013	0,277	0	13	NAN	
14,901	-0,012	0,277	0	12	NAN	
15,001	-0,012	0,277	0	12	NAN	
15,101	-0,0125	0,277	0	12,5	NAN	
15,201	-0,0125	0,277	0	12,5	NAN	
15,301	-0,012	0,277	0	12	NAN	
15,401	-0,012	0,2775	0	12	NAN	
15,501	-0,0125	0,2765	0	12,5	NAN	
